"AGE_RANGE_PERFORMANCE_REPORT (Apr 1, 2016-Jul 1, 2016)"
Day,Campaign ID,Campaign,Age Range,Impressions,Clicks,Conversions,Cost
2016-04-12,394914754,Hindware Rimless video promotion,25-34,13253,22,0.0,4588300000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,16156,20,0.0,5652000000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),45-54,3050,6,0.0,1209190000
2016-04-14,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,18390,33,0.0,6667060000
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,11722,13,0.0,4091720000
2016-04-11,394914754,Hindware Rimless video promotion,25-34,1110,1,0.0,440610000
2016-04-12,394914754,Hindware Rimless video promotion,55-64,1775,4,0.0,634770000
2016-04-16,395092114,Hindwarehome FAN ( Content Targeted),45-54,3223,3,0.0,1087180000
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,14381,22,0.0,4647630000
2016-04-18,395092114,Hindwarehome FAN ( Content Targeted),45-54,2523,2,0.0,799910000
2016-04-17,395092114,Hindwarehome FAN ( Content Targeted),45-54,3736,5,0.0,1180330000
2016-04-04,390878914,TNT GDN,18-24,70582,15,0.0,93317190
2016-04-14,390878914,TNT GDN,18-24,90844,29,0.0,121063900
2016-04-01,390878914,TNT GDN,65 or more,1715,0,0.0,3133850
2016-04-19,390878914,TNT GDN,18-24,515,0,0.0,675690
2016-04-09,390878914,TNT GDN,18-24,49520,14,0.0,69526050
2016-04-09,390878914,TNT GDN,65 or more,1333,0,0.0,2766300
2016-04-06,390878914,TNT GDN,65 or more,664,0,0.0,1037840
2016-04-16,390878914,TNT GDN,65 or more,592,0,0.0,750820
2016-04-08,390878914,TNT GDN,65 or more,3184,1,0.0,6173570
2016-04-18,390878914,TNT GDN,65 or more,841,0,0.0,1319840
2016-04-12,390878914,TNT GDN,65 or more,1202,0,0.0,1683770
2016-04-12,390878914,TNT GDN,18-24,77373,18,0.0,109586020
2016-04-11,390878914,TNT GDN,18-24,62274,13,0.0,94078630
2016-04-02,390878914,TNT GDN,18-24,62273,16,0.0,89757540
2016-04-04,390878914,TNT GDN,65 or more,860,0,0.0,1428090
2016-04-11,390878914,TNT GDN,65 or more,657,0,0.0,1244970
2016-04-13,390878914,TNT GDN,18-24,87626,22,0.0,120622100
2016-04-03,390878914,TNT GDN,18-24,87454,25,0.0,112406380
2016-04-03,390878914,TNT GDN,65 or more,825,0,0.0,1167220
2016-04-07,390878914,TNT GDN,18-24,54261,12,0.0,68099240
2016-04-01,390878914,TNT GDN,18-24,50359,12,0.0,76218080
2016-04-11,394914754,Hindware Rimless video promotion,55-64,131,0,0.0,73070000
2016-04-15,390878914,TNT GDN,18-24,91119,19,0.0,125363040
2016-04-06,390878914,TNT GDN,18-24,74653,18,0.0,92391430
2016-04-17,390878914,TNT GDN,65 or more,903,0,0.0,1074660
2016-04-17,390878914,TNT GDN,18-24,91012,19,0.0,119504180
2016-04-18,390878914,TNT GDN,18-24,71270,15,0.0,108094310
2016-04-14,390878914,TNT GDN,65 or more,782,0,0.0,1098280
2016-04-10,390878914,TNT GDN,65 or more,624,1,0.0,1119040
2016-04-08,390878914,TNT GDN,18-24,34112,5,0.0,45038960
2016-04-15,390878914,TNT GDN,65 or more,733,0,0.0,947430
2016-04-05,390878914,TNT GDN,18-24,65890,16,0.0,80319030
2016-04-02,390878914,TNT GDN,65 or more,899,0,0.0,1406050
2016-04-13,394914754,Hindware Rimless video promotion,25-34,633,2,0.0,219780000
2016-04-10,390878914,TNT GDN,18-24,69964,25,0.0,103493620
2016-04-13,390878914,TNT GDN,65 or more,1234,1,0.0,1620540
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),45-54,3322,4,0.0,1144380000
2016-04-16,390878914,TNT GDN,18-24,71206,12,0.0,110921810
2016-04-15,395092114,Hindwarehome FAN ( Content Targeted),Undetermined,17317,26,0.0,5892490000
2016-04-05,390878914,TNT GDN,65 or more,787,0,0.0,1129180
2016-04-13,394914754,Hindware Rimless video promotion,55-64,28,0,0.0,19620000
